school_id,school_name,jersey,name,position,bats,throws,height,weight,class_year,hometown,high_school,previous_school,profile_url,headshot_url
uvu,Utah Valley,12,Garrett Miller,RHP,R,R,6-0,200,R-Jr.,"Boise, Idaho",Timberline HS,College of Southern Idaho,https://gouvu.com/sports/baseball/roster/garrett-miller/11264,headshots/uvu_garrett-miller.png
uvu,Utah Valley,13,Mason Hamlin,INF,R,R,6-2,205,Sr.,"Elbert, Colo.",Falcon HS,Oklahoma,https://gouvu.com/sports/baseball/roster/mason-hamlin/11277,headshots/uvu_mason-hamlin.png
uvu,Utah Valley,14,Cohen Baack,RHP,R,R,5-10,165,Fr.,"Phoenix, Ariz.",Centennial HS,,https://gouvu.com/sports/baseball/roster/cohen-baack/11278,headshots/uvu_cohen-baack.png
uvu,Utah Valley,15,Aaron Rice,RHP,R,R,6-3,230,R-Sr.,"Brillion, Wisc.",Brillion HS,McHenry JC,https://gouvu.com/sports/baseball/roster/aaron-rice/11265,headshots/uvu_aaron-rice.png
uvu,Utah Valley,16,Joseph Barnhardt,C,R,R,6-2,218,Sr.,"Stockton, Calif.",Tokay HS,San Joaquin Delta College,https://gouvu.com/sports/baseball/roster/joseph-barnhardt/11249,headshots/uvu_joseph-barnhardt.png
uvu,Utah Valley,17,Jacob Beltran,RHP,R,R,6-0,180,Sr.,"Phoenix, Ariz.",Mountain Pointe HS,South Mountain JC,https://gouvu.com/sports/baseball/roster/jacob-beltran/11251,headshots/uvu_jacob-beltran.png
uvu,Utah Valley,18,George Albrecht,RHP,L,R,6-4,195,Sr.,"Louisville, Colo.",Monarch HS,Monterey Peninsula,https://gouvu.com/sports/baseball/roster/george-albrecht/11248,headshots/uvu_george-albrecht.png
uvu,Utah Valley,20,Jordan Chancellor,RHP,R,R,6-2,248,R-Fr.,"Indio, Calif.",Xavier College Prep,,https://gouvu.com/sports/baseball/roster/jordan-chancellor/11253,headshots/uvu_jordan-chancellor.png
uvu,Utah Valley,21,Bradley Gilbert,RHP,L,R,5-11,190,So.,"Redlands, Calif.",Aquinas HS,Washington,https://gouvu.com/sports/baseball/roster/bradley-gilbert/11280,headshots/uvu_bradley-gilbert.png
uvu,Utah Valley,22,Josh Mawhinney,RHP,R,R,6-4,215,Fr.,"Cottonwood Heights, Utah",Brighton HS,,https://gouvu.com/sports/baseball/roster/josh-mawhinney/11281,headshots/uvu_josh-mawhinney.png
uvu,Utah Valley,24,Jacob Heppner,LHP,L,L,5-11,205,R-Jr.,"Litchfield Park, Ariz.",Canyon View HS,Paradise Valley,https://gouvu.com/sports/baseball/roster/jacob-heppner/11256,headshots/uvu_jacob-heppner.png
uvu,Utah Valley,25,Ray Hernandez,RHP,R,R,5-11,190,Sr.,"Temecula, Calif.",Temecula Valley HS,Ohlone College,https://gouvu.com/sports/baseball/roster/ray-hernandez/11257,headshots/uvu_ray-hernandez.png
uvu,Utah Valley,27,Carter Seely,RHP,R,R,6-1,195,Jr.,"Selah, Wash.",Selah HS,Central Arizona,https://gouvu.com/sports/baseball/roster/carter-seely/11282,headshots/uvu_carter-seely.png
uvu,Utah Valley,28,Cooper Littledike,RHP,,,6-3,200,R-Sr.,"Mapleton, Utah",Maple Mountain HS,Southern Idaho,https://gouvu.com/sports/baseball/roster/cooper-littledike/11262,headshots/uvu_cooper-littledike.png
uvu,Utah Valley,29,Max Stanley,RHP,L,R,6-3,185,So.,"Parker, Colo.",Douglas County HS,BYU,https://gouvu.com/sports/baseball/roster/max-stanley/11283,headshots/uvu_max-stanley.png
uvu,Utah Valley,30,Quinn Holt,RHP,R,R,6-5,225,Sr.,"North Wales, Pa.",North Penn HS,Keystone College,https://gouvu.com/sports/baseball/roster/quinn-holt/11284,headshots/uvu_quinn-holt.png
uvu,Utah Valley,31,Naun Haro,LHP,L,L,6-2,200,Sr.,"La Quinta, Calif.",Palm Desert HS,Kansas,https://gouvu.com/sports/baseball/roster/naun-haro/11285,headshots/uvu_naun-haro.png
uvu,Utah Valley,32,Trey Jacobsen,RHP,R,R,6-5,210,Jr.,"Cedar City, Utah",Canyon View HS,Centralia CC,https://gouvu.com/sports/baseball/roster/trey-jacobsen/11286,headshots/uvu_trey-jacobsen.png
